iter	RMSE
0	0.1514252745
1	0.1386192712
2	0.1270831389
3	0.1173689472
4	0.1090590937
5	0.1016966783
6	0.09540334412
7	0.08930533082
8	0.08431339773
9	0.08020520468
10	0.07675748874
11	0.07340535036
12	0.07064866257
13	0.06854162346
14	0.06656382462
15	0.06509188833
16	0.06370481493
17	0.06269043664
18	0.06182957457
19	0.060994983
20	0.06038173503
21	0.05976398525
22	0.0593516976
23	0.05896360079
24	0.05861466119
25	0.05837157092
26	0.05817650379
27	0.05795650901
28	0.05777191709
29	0.0576519926
30	0.05751080586
31	0.05741957104
32	0.05731343755
33	0.05723917877
34	0.05715995565
35	0.05709708654
36	0.05704705607
37	0.05699813213
38	0.05695419802
39	0.05691879715
40	0.05688997382
41	0.05686692387
42	0.05683482153
43	0.05680838166
44	0.05679023165
45	0.05676755444
46	0.05675135586
47	0.0567320772
48	0.05671654538
49	0.05670541861
50	0.05669279659
51	0.05667438234
52	0.05666222628
53	0.05664753728
54	0.05663733979
55	0.05662793806
56	0.05661718102
57	0.05660795533
58	0.05660254576
59	0.05659071381
60	0.05658218447
61	0.05657727814
62	0.05657162894
63	0.05656531628
64	0.05655948422
65	0.0565517423
66	0.05654680575
67	0.05654112212
68	0.0565360059
69	0.05652824171
70	0.05652411058
71	0.05651964056
72	0.05651633021
73	0.05651268562
74	0.05650673031
75	0.05650288668
76	0.05649728401
77	0.05649420932
78	0.05649028528
79	0.05648565351
80	0.05648208856
81	0.05647817874
82	0.05647490516
83	0.05647192675
84	0.0564695569
85	0.05646533722
86	0.05646242117
87	0.05645843492
88	0.05645166982
89	0.05644884217
90	0.05644587658
91	0.05643968133
92	0.05643737025
93	0.05643509868
94	0.05643192963
95	0.05642579859
96	0.05642260622
97	0.05641606931
98	0.05641363247
99	0.05641128724
100	0.05640950181
101	0.05640693378
102	0.05640433494
103	0.0564026867
104	0.05639943957
105	0.05639811456
106	0.05639316139
107	0.05639109938
108	0.05638815511
109	0.05638482757
110	0.0563834332
111	0.05638098474
112	0.05637730623
113	0.05637547303
114	0.05637268583
115	0.05636967382
116	0.05636674363
117	0.05636480132
118	0.05636212516
119	0.05636021853
120	0.05635760258
121	0.05635569059
122	0.05635417901
123	0.05635198523
124	0.05634882272
125	0.05634611909
126	0.0563434427
127	0.05633827303
128	0.05633624598
129	0.05633368861
130	0.05633039668
131	0.05632659981
132	0.05632513305
133	0.05632319447
134	0.05632033458
135	0.05631843833
136	0.05631722747
