iter	Passed	Remaining
402	11019	16323
403	11047	16297
404	11074	16269
405	11101	16242
406	11128	16214
407	11158	16190
408	11188	16167
409	11217	16142
410	11247	16119
411	11276	16094
412	11307	16070
413	11345	16058
414	11376	16037
415	11406	16012
416	11435	15988
417	11465	15964
418	11497	15942
419	11530	15923
420	11562	15901
421	11595	15881
422	11624	15857
423	11655	15834
424	11684	15808
425	11711	15780
426	11740	15754
427	11769	15729
428	11797	15702
429	11827	15677
430	11869	15670
431	11895	15640
432	11923	15613
433	11954	15590
434	11982	15563
435	12009	15535
436	12036	15507
437	12067	15484
438	12115	15482
439	12144	15456
440	12174	15431
441	12207	15411
442	12262	15418
443	12313	15420
444	12373	15432
445	12448	15463
446	12494	15457
447	12524	15432
448	12554	15406
449	12582	15378
450	12612	15353
451	12641	15326
452	12671	15301
453	12702	15277
454	12734	15252
455	12762	15225
456	12791	15199
457	12819	15171
458	12849	15145
459	12878	15118
460	12908	15092
461	12943	15072
462	12975	15049
463	13006	15025
464	13053	15018
465	13084	14993
466	13116	14970
467	13149	14947
468	13199	14943
469	13244	14935
470	13275	14910
471	13323	14904
472	13355	14880
473	13388	14857
474	13436	14850
475	13465	14823
476	13494	14796
477	13520	14765
478	13548	14735
479	13574	14705
480	13603	14678
481	13631	14649
482	13657	14618
483	13687	14592
484	13713	14561
485	13743	14535
486	13776	14512
487	13808	14487
488	13854	14478
489	13883	14449
490	13913	14423
491	13941	14394
492	13968	14365
493	13997	14337
494	14026	14309
495	14057	14284
496	14094	14264
497	14132	14246
498	14163	14220
499	14197	14197
500	14226	14169
501	14254	14141
502	14282	14112
503	14311	14084
504	14340	14056
505	14370	14029
506	14400	14002
507	14428	13973
508	14457	13946
509	14483	13915
510	14526	13901
511	14556	13874
512	14606	13865
513	14658	13859
514	14705	13848
515	14742	13828
516	14773	13802
517	14805	13776
518	14841	13754
519	14868	13724
520	14935	13731
521	14963	13702
522	14992	13673
523	15022	13646
524	15052	13618
525	15099	13607
526	15129	13578
527	15159	13551
528	15187	13522
529	15218	13495
530	15246	13466
531	15295	13455
532	15328	13430
533	15359	13403
534	15389	13375
535	15421	13350
536	15453	13323
537	15482	13295
538	15511	13266
539	15559	13254
540	15592	13228
541	15621	13200
542	15649	13171
543	15676	13140
544	15707	13113
545	15736	13084
546	15765	13055
547	15793	13027
548	15825	13000
549	15854	12971
550	15885	12945
551	15914	12915
552	15943	12887
553	15975	12861
554	16004	12832
555	16030	12801
556	16058	12771
557	16088	12744
558	16117	12715
559	16150	12689
560	16181	12662
561	16214	12636
562	16245	12609
563	16274	12580
564	16303	12552
565	16331	12522
566	16361	12494
567	16391	12466
568	16423	12440
569	16457	12415
570	16522	12413
571	16572	12400
572	16637	12398
573	16684	12382
574	16729	12365
575	16757	12335
576	16786	12306
577	16820	12280
578	16866	12264
579	16915	12249
580	16980	12245
581	17042	12240
582	17071	12210
583	17098	12179
584	17127	12150
585	17159	12122
586	17222	12117
587	17254	12090
588	17322	12087
589	17365	12067
590	17411	12049
591	17440	12019
592	17471	11991
593	17499	11961
594	17529	11932
595	17556	11900
596	17586	11871
597	17614	11840
598	17641	11809
599	17670	11780
600	17698	11750
601	17729	11721
602	17755	11689
603	17783	11659
604	17811	11628
605	17839	11598
606	17869	11569
607	17900	11541
608	17929	11511
609	17958	11481
610	17988	11452
611	18020	11424
612	18062	11403
613	18126	11395
614	18189	11387
615	18218	11356
616	18278	11346
617	18341	11337
618	18369	11306
619	18430	11296
620	18482	11279
621	18518	11254
622	18549	11224
623	18575	11193
624	18602	11161
625	18633	11132
626	18659	11100
627	18687	11069
628	18715	11038
629	18742	11007
630	18769	10976
631	18802	10948
632	18865	10937
633	18927	10926
634	18974	10906
635	19020	10885
636	19065	10864
637	19110	10843
638	19148	10817
639	19180	10789
640	19207	10757
641	19235	10726
642	19263	10695
643	19288	10662
644	19316	10631
645	19343	10600
646	19372	10569
647	19398	10537
648	19424	10505
649	19452	10474
650	19479	10442
651	19506	10411
652	19536	10381
653	19564	10350
654	19593	10320
655	19638	10298
656	19688	10278
657	19727	10253
658	19790	10240
659	19834	10217
660	19862	10186
661	19889	10155
662	19917	10123
663	19945	10092
664	19973	10061
665	20001	10030
666	20028	9999
667	20056	9968
668	20083	9936
669	20114	9907
670	20161	9885
671	20188	9853
672	20218	9823
673	20262	9800
674	20290	9769
675	20318	9738
676	20345	9707
677	20374	9676
678	20401	9645
679	20430	9614
680	20458	9583
681	20486	9552
682	20512	9520
683	20539	9489
684	20570	9459
685	20596	9427
686	20626	9397
687	20653	9365
688	20681	9335
689	20708	9303
690	20735	9272
691	20781	9249
692	20843	9233
693	20889	9210
694	20937	9188
695	20986	9166
696	21028	9141
697	21093	9126
698	21157	9110
699	21204	9087
700	21278	9076
701	21323	9051
702	21368	9027
703	21395	8995
704	21424	8964
705	21451	8933
706	21479	8901
707	21507	8870
708	21535	8838
709	21563	8807
710	21591	8776
711	21619	8744
712	21648	8714
713	21676	8682
714	21706	8652
715	21734	8621
716	21763	8589
717	21793	8559
718	21822	8528
719	21851	8497
720	21878	8466
721	21906	8435
722	21935	8403
723	21962	8372
724	21990	8341
725	22018	8309
726	22044	8278
727	22071	8246
728	22096	8214
729	22127	8184
730	22170	8158
731	22198	8127
732	22226	8096
733	22255	8065
734	22283	8034
735	22311	8003
736	22338	7971
737	22368	7941
738	22395	7909
739	22423	7878
740	22452	7847
741	22479	7816
742	22509	7785
743	22538	7755
744	22568	7724
745	22595	7693
746	22624	7662
747	22651	7631
748	22678	7599
749	22705	7568
750	22731	7536
751	22757	7505
752	22787	7474
753	22813	7442
754	22840	7411
755	22868	7380
756	22897	7350
757	22923	7318
758	22951	7287
759	22979	7256
760	23008	7226
761	23035	7194
762	23061	7163
763	23088	7132
764	23125	7103
765	23153	7072
766	23177	7040
767	23207	7010
768	23236	6979
769	23264	6949
770	23292	6918
771	23320	6887
772	23350	6857
773	23379	6826
774	23409	6796
775	23438	6765
776	23467	6735
777	23495	6704
778	23522	6673
779	23549	6642
780	23577	6611
781	23602	6579
782	23645	6552
783	23675	6522
784	23704	6492
785	23745	6464
786	23773	6434
787	23799	6402
788	23828	6372
789	23855	6341
790	23883	6310
791	23913	6280
792	23939	6249
793	23969	6218
794	23999	6188
795	24047	6162
796	24107	6140
797	24140	6110
798	24174	6081
799	24214	6053
800	24247	6023
801	24287	5996
802	24341	5971
803	24371	5941
804	24414	5914
805	24457	5886
806	24504	5860
807	24531	5829
808	24559	5798
809	24588	5767
810	24618	5737
811	24646	5706
812	24672	5675
813	24700	5644
814	24730	5613
815	24758	5582
816	24787	5552
817	24814	5521
818	24843	5490
819	24870	5459
820	24898	5428
821	24928	5398
822	24954	5366
823	24983	5336
824	25011	5305
825	25039	5274
826	25069	5244
827	25105	5215
828	25134	5184
829	25165	5154
830	25193	5123
831	25224	5093
832	25251	5062
833	25279	5031
834	25307	5000
835	25336	4970
836	25363	4939
837	25392	4908
838	25420	4878
839	25446	4846
840	25473	4815
841	25501	4785
842	25530	4754
843	25559	4724
844	25584	4692
845	25611	4662
846	25639	4631
847	25669	4601
848	25698	4570
849	25732	4540
850	25798	4516
851	25826	4486
852	25861	4456
853	25902	4428
854	25929	4397
855	25955	4366
856	25985	4335
857	26014	4305
858	26040	4274
859	26068	4243
860	26096	4213
861	26124	4182
862	26152	4151
863	26178	4120
864	26206	4089
865	26233	4059
866	26262	4028
867	26288	3997
868	26313	3966
869	26341	3936
870	26370	3905
871	26399	3875
872	26427	3844
873	26454	3813
874	26483	3783
875	26512	3752
876	26542	3722
877	26570	3691
878	26596	3661
879	26625	3630
880	26654	3600
881	26681	3569
882	26710	3539
883	26736	3508
884	26762	3477
885	26788	3446
886	26815	3416
887	26842	3385
888	26869	3354
889	26895	3324
890	26922	3293
891	26948	3262
892	26973	3232
893	27000	3201
894	27028	3170
895	27055	3140
896	27082	3109
897	27109	3079
898	27136	3048
899	27164	3018
900	27192	2987
901	27221	2957
902	27246	2926
903	27277	2896
904	27306	2866
905	27332	2835
906	27359	2805
907	27388	2775
908	27417	2744
909	27444	2714
910	27487	2685
911	27519	2655
912	27561	2626
913	27587	2595
914	27616	2565
915	27645	2535
916	27673	2504
917	27728	2476
918	27756	2446
919	27785	2416
920	27813	2385
921	27842	2355
922	27871	2325
923	27899	2294
924	27928	2264
925	27956	2234
926	27985	2203
927	28012	2173
928	28042	2143
929	28071	2112
930	28101	2082
931	28126	2052
932	28154	2021
933	28182	1991
934	28210	1961
935	28234	1930
936	28262	1900
937	28291	1870
938	28321	1839
939	28349	1809
940	28377	1779
941	28406	1748
942	28432	1718
943	28461	1688
944	28489	1658
945	28514	1627
946	28541	1597
947	28569	1567
948	28598	1536
949	28624	1506
950	28654	1476
951	28682	1446
952	28710	1415
953	28739	1385
954	28776	1355
955	28814	1326
956	28843	1295
957	28875	1265
958	28906	1235
959	28950	1206
960	28992	1176
961	29021	1146
962	29051	1116
963	29081	1086
964	29111	1055
965	29142	1025
966	29169	995
967	29202	965
968	29247	935
969	29275	905
970	29304	875
971	29331	844
972	29362	814
973	29389	784
974	29416	754
975	29444	724
976	29473	693
977	29501	663
978	29530	633
979	29557	603
980	29588	573
981	29615	542
982	29645	512
983	29678	482
984	29710	452
985	29737	422
986	29765	392
987	29794	361
988	29822	331
989	29852	301
990	29884	271
991	29916	241
992	29948	211
993	29979	180
994	30010	150
995	30038	120
996	30065	90
997	30094	60
998	30122	30
999	30148	0
